buildUnitName, systemName, teamName
AMS-Interface-Test,AMS,D1
AMS-Manage-JUnit-FindBugs,AMS,D1
AMS-Server-JUnit-FindBugs,AMS,D1
Auth_InterfaceTest,AUTH,D2
Auth_InterfaceTest1,AUTH,D2
auth-gateway,AUTH,D2
auth-manage,AUTH,D2
auth-server,AUTH,D2
CheJi-Interface,CHEJI,D2
CRM-Server-JUnit-FindBugs,CRM,D1
finance-manage,FINANCE,D2
finance-server,FINANCE,D2
fms-gateway,FMS,D2
fms-manage,FMS,D2
fms-server,FMS,D2
kingdee-gateway,KINGDEE,D2
kingdee-server,KINGDEE,D2
open-api,OPEN,UNKNOWN
SCM-Manage-JUnit-FindBugs,SCM,D2
SCM-Server-JUnit-FindBugs,SCM,D2
Thirdparty-Gateway,THIRDPARTY,D1
TMS-Manage-JUnit-FindBugs,TMS,D1
TMS-Server-JUnit-FindBugs,TMS,D1
TSL-Manage-JUnit-FindBugs,TSL,D2
TSL-Server-JUnit-FindBugs,TSL,D2
autotest_wt,WT,D1
WT-Gateway-JUnit-FindBugs,WT,D1
WT-Mange-JUnit-FindBugs,WT,D1
wt-monitor-server,WT,D1
WT-Server-JUnit-FindBugs,WT,D1
